Train episodes: 0,Average Reward: -0.618
Train episodes: 25,Average Reward: -0.217
Train episodes: 50,Average Reward: -0.206
Train episodes: 75,Average Reward: -0.124
Train episodes: 100,Average Reward: -0.205
Train episodes: 125,Average Reward: -0.226
Train episodes: 150,Average Reward: -0.162
Train episodes: 175,Average Reward: -0.222
Train episodes: 200,Average Reward: -0.235
Train episodes: 225,Average Reward: -0.161
Train episodes: 250,Average Reward: -0.219
Train episodes: 275,Average Reward: -0.191
Train episodes: 300,Average Reward: -0.111
Train episodes: 325,Average Reward: -0.216
Train episodes: 350,Average Reward: -0.222
Train episodes: 375,Average Reward: -0.18
Train episodes: 400,Average Reward: -0.234
Train episodes: 425,Average Reward: -0.187
Train episodes: 450,Average Reward: -0.184
Train episodes: 475,Average Reward: -0.125
Train episodes: 500,Average Reward: -0.235
