Train episodes: 0,Average Reward: -0.233
Train episodes: 25,Average Reward: -0.218
Train episodes: 50,Average Reward: -0.187
Train episodes: 75,Average Reward: -0.188
Train episodes: 100,Average Reward: -0.157
Train episodes: 125,Average Reward: -0.202
Train episodes: 150,Average Reward: -0.193
Train episodes: 175,Average Reward: -0.246
Train episodes: 200,Average Reward: -0.19
Train episodes: 225,Average Reward: -0.117
Train episodes: 250,Average Reward: -0.081
Train episodes: 275,Average Reward: -0.127
Train episodes: 300,Average Reward: -0.164
Train episodes: 325,Average Reward: -0.056
Train episodes: 350,Average Reward: -0.177
Train episodes: 375,Average Reward: -0.176
Train episodes: 400,Average Reward: -0.15
Train episodes: 425,Average Reward: -0.113
Train episodes: 450,Average Reward: -0.176
Train episodes: 475,Average Reward: -0.135
Train episodes: 500,Average Reward: -0.132
