Train episodes: 0,Average Reward: -0.782
Train episodes: 25,Average Reward: -0.205
Train episodes: 50,Average Reward: -0.211
Train episodes: 75,Average Reward: -0.23
Train episodes: 100,Average Reward: -0.237
Train episodes: 125,Average Reward: -0.12
Train episodes: 150,Average Reward: -0.213
Train episodes: 175,Average Reward: -0.181
Train episodes: 200,Average Reward: -0.19
Train episodes: 225,Average Reward: -0.179
Train episodes: 250,Average Reward: -0.232
Train episodes: 275,Average Reward: -0.189
Train episodes: 300,Average Reward: -0.181
Train episodes: 325,Average Reward: -0.173
Train episodes: 350,Average Reward: -0.204
Train episodes: 375,Average Reward: -0.263
Train episodes: 400,Average Reward: -0.208
Train episodes: 425,Average Reward: -0.235
Train episodes: 450,Average Reward: -0.184
Train episodes: 475,Average Reward: -0.201
Train episodes: 500,Average Reward: -0.226
