Train episodes: 1000, Average Reward: -0.186
Train episodes: 2000, Average Reward: -0.188
Train episodes: 3000, Average Reward: -0.17766666666666667
Train episodes: 4000, Average Reward: -0.17425
Train episodes: 5000, Average Reward: -0.1596
Train episodes: 6000, Average Reward: -0.15216666666666667
Train episodes: 7000, Average Reward: -0.14614285714285713
Train episodes: 8000, Average Reward: -0.139625
Train episodes: 9000, Average Reward: -0.13577777777777778
Train episodes: 10000, Average Reward: -0.1352
Train episodes: 11000, Average Reward: -0.13054545454545455
Train episodes: 12000, Average Reward: -0.12341666666666666
Train episodes: 13000, Average Reward: -0.12538461538461537
Train episodes: 14000, Average Reward: -0.12521428571428572
Train episodes: 15000, Average Reward: -0.11846666666666666
Train episodes: 16000, Average Reward: -0.1124375
Train episodes: 17000, Average Reward: -0.11135294117647059
Train episodes: 18000, Average Reward: -0.11305555555555556
Train episodes: 19000, Average Reward: -0.11194736842105263
Train episodes: 20000, Average Reward: -0.1093
Train episodes: 21000, Average Reward: -0.10680952380952381
Train episodes: 22000, Average Reward: -0.10477272727272727
Train episodes: 23000, Average Reward: -0.10504347826086957
Train episodes: 24000, Average Reward: -0.106
Train episodes: 25000, Average Reward: -0.10304
Train episodes: 26000, Average Reward: -0.10265384615384615
Train episodes: 27000, Average Reward: -0.10114814814814815
Train episodes: 28000, Average Reward: -0.10046428571428571
Train episodes: 29000, Average Reward: -0.09903448275862069
Train episodes: 30000, Average Reward: -0.0984
Train episodes: 31000, Average Reward: -0.09816129032258064
Train episodes: 32000, Average Reward: -0.09690625
Train episodes: 33000, Average Reward: -0.09812121212121212
Train episodes: 34000, Average Reward: -0.09738235294117648
Train episodes: 35000, Average Reward: -0.09808571428571429
Train episodes: 36000, Average Reward: -0.09641666666666666
Train episodes: 37000, Average Reward: -0.0962972972972973
Train episodes: 38000, Average Reward: -0.09655263157894736
Train episodes: 39000, Average Reward: -0.09774358974358974
Train episodes: 40000, Average Reward: -0.098225
Train episodes: 41000, Average Reward: -0.09753658536585366
Train episodes: 42000, Average Reward: -0.09671428571428571
Train episodes: 43000, Average Reward: -0.09646511627906977
Train episodes: 44000, Average Reward: -0.09586363636363636
Train episodes: 45000, Average Reward: -0.09535555555555555
Train episodes: 46000, Average Reward: -0.09458695652173912
Train episodes: 47000, Average Reward: -0.09359574468085106
Train episodes: 48000, Average Reward: -0.0934375
Train episodes: 49000, Average Reward: -0.09440816326530613
Train episodes: 50000, Average Reward: -0.09466
Train episodes: 51000, Average Reward: -0.09452941176470588
Train episodes: 52000, Average Reward: -0.09467307692307693
Train episodes: 53000, Average Reward: -0.09411320754716981
Train episodes: 54000, Average Reward: -0.09468518518518519
Train episodes: 55000, Average Reward: -0.09436363636363636
Train episodes: 56000, Average Reward: -0.09407142857142857
Train episodes: 57000, Average Reward: -0.09385964912280702
Train episodes: 58000, Average Reward: -0.09439655172413793
Train episodes: 59000, Average Reward: -0.09545762711864407
Train episodes: 60000, Average Reward: -0.0962
Train episodes: 61000, Average Reward: -0.09672131147540984
Train episodes: 62000, Average Reward: -0.0970483870967742
Train episodes: 63000, Average Reward: -0.09692063492063492
Train episodes: 64000, Average Reward: -0.097
Train episodes: 65000, Average Reward: -0.09650769230769231
Train episodes: 66000, Average Reward: -0.09633333333333334
Train episodes: 67000, Average Reward: -0.09682089552238805
Train episodes: 68000, Average Reward: -0.09708823529411764
Train episodes: 69000, Average Reward: -0.09646376811594203
Train episodes: 70000, Average Reward: -0.0957
Train episodes: 71000, Average Reward: -0.09576056338028169
Train episodes: 72000, Average Reward: -0.09605555555555556
Train episodes: 73000, Average Reward: -0.09556164383561644
Train episodes: 74000, Average Reward: -0.09506756756756757
Train episodes: 75000, Average Reward: -0.09478666666666667
Train episodes: 76000, Average Reward: -0.09417105263157895
Train episodes: 77000, Average Reward: -0.09455844155844156
Train episodes: 78000, Average Reward: -0.09421794871794872
Train episodes: 79000, Average Reward: -0.09440506329113924
Train episodes: 80000, Average Reward: -0.09465
Train episodes: 81000, Average Reward: -0.09490123456790124
Train episodes: 82000, Average Reward: -0.09440243902439024
Train episodes: 83000, Average Reward: -0.0936867469879518
Train episodes: 84000, Average Reward: -0.09414285714285714
Train episodes: 85000, Average Reward: -0.09395294117647059
Train episodes: 86000, Average Reward: -0.09436046511627907
Train episodes: 87000, Average Reward: -0.09464367816091954
Train episodes: 88000, Average Reward: -0.09476136363636363
Train episodes: 89000, Average Reward: -0.09475280898876405
Train episodes: 90000, Average Reward: -0.09472222222222222
Train episodes: 91000, Average Reward: -0.09446153846153846
Train episodes: 92000, Average Reward: -0.09456521739130434
Train episodes: 93000, Average Reward: -0.09468817204301075
Train episodes: 94000, Average Reward: -0.09465957446808511
Train episodes: 95000, Average Reward: -0.09492631578947368
Train episodes: 96000, Average Reward: -0.09475
Train episodes: 97000, Average Reward: -0.09497938144329897
Train episodes: 98000, Average Reward: -0.09522448979591837
Train episodes: 99000, Average Reward: -0.09513131313131314
Train episodes: 100000, Average Reward: -0.09503
