Train episodes: 1000, Average Reward: -0.249
Train episodes: 2000, Average Reward: -0.205
Train episodes: 3000, Average Reward: -0.198
Train episodes: 4000, Average Reward: -0.1635
Train episodes: 5000, Average Reward: -0.1476
Train episodes: 6000, Average Reward: -0.1365
Train episodes: 7000, Average Reward: -0.12671428571428572
Train episodes: 8000, Average Reward: -0.124125
Train episodes: 9000, Average Reward: -0.12033333333333333
Train episodes: 10000, Average Reward: -0.1167
Train episodes: 11000, Average Reward: -0.117
Train episodes: 12000, Average Reward: -0.11716666666666667
Train episodes: 13000, Average Reward: -0.122
Train episodes: 14000, Average Reward: -0.11742857142857142
Train episodes: 15000, Average Reward: -0.11546666666666666
Train episodes: 16000, Average Reward: -0.1149375
Train episodes: 17000, Average Reward: -0.1131764705882353
Train episodes: 18000, Average Reward: -0.11527777777777778
Train episodes: 19000, Average Reward: -0.11410526315789474
Train episodes: 20000, Average Reward: -0.1135
Train episodes: 21000, Average Reward: -0.11514285714285714
Train episodes: 22000, Average Reward: -0.11604545454545455
Train episodes: 23000, Average Reward: -0.11639130434782609
Train episodes: 24000, Average Reward: -0.1165
Train episodes: 25000, Average Reward: -0.1186
Train episodes: 26000, Average Reward: -0.11796153846153846
Train episodes: 27000, Average Reward: -0.1187037037037037
Train episodes: 28000, Average Reward: -0.117
Train episodes: 29000, Average Reward: -0.1173103448275862
Train episodes: 30000, Average Reward: -0.1176
Train episodes: 31000, Average Reward: -0.11641935483870967
Train episodes: 32000, Average Reward: -0.1176875
Train episodes: 33000, Average Reward: -0.11736363636363636
Train episodes: 34000, Average Reward: -0.11776470588235294
Train episodes: 35000, Average Reward: -0.11865714285714286
Train episodes: 36000, Average Reward: -0.11863888888888889
Train episodes: 37000, Average Reward: -0.11767567567567568
Train episodes: 38000, Average Reward: -0.11613157894736842
Train episodes: 39000, Average Reward: -0.11664102564102564
Train episodes: 40000, Average Reward: -0.116575
Train episodes: 41000, Average Reward: -0.11465853658536586
Train episodes: 42000, Average Reward: -0.11378571428571428
Train episodes: 43000, Average Reward: -0.11458139534883721
Train episodes: 44000, Average Reward: -0.11479545454545455
Train episodes: 45000, Average Reward: -0.11388888888888889
Train episodes: 46000, Average Reward: -0.11393478260869565
Train episodes: 47000, Average Reward: -0.114
Train episodes: 48000, Average Reward: -0.11516666666666667
Train episodes: 49000, Average Reward: -0.11555102040816327
Train episodes: 50000, Average Reward: -0.11592
Train episodes: 51000, Average Reward: -0.11596078431372549
Train episodes: 52000, Average Reward: -0.11607692307692308
Train episodes: 53000, Average Reward: -0.11573584905660378
Train episodes: 54000, Average Reward: -0.11674074074074074
Train episodes: 55000, Average Reward: -0.11749090909090909
Train episodes: 56000, Average Reward: -0.118625
Train episodes: 57000, Average Reward: -0.1196842105263158
Train episodes: 58000, Average Reward: -0.12046551724137931
Train episodes: 59000, Average Reward: -0.12052542372881356
Train episodes: 60000, Average Reward: -0.12043333333333334
Train episodes: 61000, Average Reward: -0.12042622950819672
Train episodes: 62000, Average Reward: -0.12038709677419354
Train episodes: 63000, Average Reward: -0.12065079365079365
Train episodes: 64000, Average Reward: -0.120796875
Train episodes: 65000, Average Reward: -0.12129230769230769
Train episodes: 66000, Average Reward: -0.12153030303030303
Train episodes: 67000, Average Reward: -0.12111940298507462
Train episodes: 68000, Average Reward: -0.12191176470588236
Train episodes: 69000, Average Reward: -0.12265217391304348
Train episodes: 70000, Average Reward: -0.12307142857142857
Train episodes: 71000, Average Reward: -0.12311267605633802
Train episodes: 72000, Average Reward: -0.12327777777777778
Train episodes: 73000, Average Reward: -0.12404109589041096
Train episodes: 74000, Average Reward: -0.1240945945945946
Train episodes: 75000, Average Reward: -0.12450666666666667
Train episodes: 76000, Average Reward: -0.125
Train episodes: 77000, Average Reward: -0.1252987012987013
Train episodes: 78000, Average Reward: -0.12575641025641027
Train episodes: 79000, Average Reward: -0.12635443037974683
Train episodes: 80000, Average Reward: -0.1264
Train episodes: 81000, Average Reward: -0.1264320987654321
Train episodes: 82000, Average Reward: -0.12717073170731708
Train episodes: 83000, Average Reward: -0.12704819277108434
Train episodes: 84000, Average Reward: -0.12671428571428572
Train episodes: 85000, Average Reward: -0.12698823529411765
Train episodes: 86000, Average Reward: -0.12640697674418605
Train episodes: 87000, Average Reward: -0.12648275862068967
Train episodes: 88000, Average Reward: -0.12638636363636363
Train episodes: 89000, Average Reward: -0.12668539325842695
Train episodes: 90000, Average Reward: -0.1266
Train episodes: 91000, Average Reward: -0.12646153846153846
Train episodes: 92000, Average Reward: -0.12646739130434784
Train episodes: 93000, Average Reward: -0.12694623655913978
Train episodes: 94000, Average Reward: -0.12684042553191488
Train episodes: 95000, Average Reward: -0.12750526315789473
Train episodes: 96000, Average Reward: -0.12791666666666668
Train episodes: 97000, Average Reward: -0.1284742268041237
Train episodes: 98000, Average Reward: -0.1286938775510204
Train episodes: 99000, Average Reward: -0.12895959595959597
Train episodes: 100000, Average Reward: -0.12959
