Train episodes: 1000, Average Reward: -0.138
Train episodes: 2000, Average Reward: -0.1115
Train episodes: 3000, Average Reward: -0.10266666666666667
Train episodes: 4000, Average Reward: -0.09425
Train episodes: 5000, Average Reward: -0.095
Train episodes: 6000, Average Reward: -0.09083333333333334
Train episodes: 7000, Average Reward: -0.08457142857142858
Train episodes: 8000, Average Reward: -0.0765
Train episodes: 9000, Average Reward: -0.08377777777777778
Train episodes: 10000, Average Reward: -0.0841
Train episodes: 11000, Average Reward: -0.08754545454545455
Train episodes: 12000, Average Reward: -0.09291666666666666
Train episodes: 13000, Average Reward: -0.09676923076923077
Train episodes: 14000, Average Reward: -0.09628571428571428
Train episodes: 15000, Average Reward: -0.0962
Train episodes: 16000, Average Reward: -0.097125
Train episodes: 17000, Average Reward: -0.09823529411764706
Train episodes: 18000, Average Reward: -0.09977777777777778
Train episodes: 19000, Average Reward: -0.09857894736842106
Train episodes: 20000, Average Reward: -0.099
Train episodes: 21000, Average Reward: -0.10133333333333333
Train episodes: 22000, Average Reward: -0.10254545454545455
Train episodes: 23000, Average Reward: -0.10278260869565217
Train episodes: 24000, Average Reward: -0.10225
Train episodes: 25000, Average Reward: -0.10248
Train episodes: 26000, Average Reward: -0.10215384615384615
Train episodes: 27000, Average Reward: -0.10122222222222223
Train episodes: 28000, Average Reward: -0.10214285714285715
Train episodes: 29000, Average Reward: -0.1023448275862069
Train episodes: 30000, Average Reward: -0.10186666666666666
Train episodes: 31000, Average Reward: -0.1016774193548387
Train episodes: 32000, Average Reward: -0.1049375
Train episodes: 33000, Average Reward: -0.10615151515151515
Train episodes: 34000, Average Reward: -0.10823529411764705
Train episodes: 35000, Average Reward: -0.10851428571428572
Train episodes: 36000, Average Reward: -0.108
Train episodes: 37000, Average Reward: -0.10862162162162162
Train episodes: 38000, Average Reward: -0.10847368421052632
Train episodes: 39000, Average Reward: -0.10884615384615384
Train episodes: 40000, Average Reward: -0.1088
Train episodes: 41000, Average Reward: -0.10953658536585366
Train episodes: 42000, Average Reward: -0.11028571428571429
Train episodes: 43000, Average Reward: -0.11083720930232559
Train episodes: 44000, Average Reward: -0.11079545454545454
Train episodes: 45000, Average Reward: -0.10944444444444444
Train episodes: 46000, Average Reward: -0.10965217391304348
Train episodes: 47000, Average Reward: -0.11002127659574468
Train episodes: 48000, Average Reward: -0.11091666666666666
Train episodes: 49000, Average Reward: -0.11146938775510204
Train episodes: 50000, Average Reward: -0.11178
Train episodes: 51000, Average Reward: -0.11288235294117648
Train episodes: 52000, Average Reward: -0.11359615384615385
Train episodes: 53000, Average Reward: -0.11364150943396227
Train episodes: 54000, Average Reward: -0.11438888888888889
Train episodes: 55000, Average Reward: -0.115
Train episodes: 56000, Average Reward: -0.11617857142857142
Train episodes: 57000, Average Reward: -0.11666666666666667
Train episodes: 58000, Average Reward: -0.11798275862068966
Train episodes: 59000, Average Reward: -0.11822033898305084
Train episodes: 60000, Average Reward: -0.11925
Train episodes: 61000, Average Reward: -0.1190655737704918
Train episodes: 62000, Average Reward: -0.12016129032258065
Train episodes: 63000, Average Reward: -0.121
Train episodes: 64000, Average Reward: -0.121046875
Train episodes: 65000, Average Reward: -0.12143076923076923
Train episodes: 66000, Average Reward: -0.12186363636363637
Train episodes: 67000, Average Reward: -0.12240298507462687
Train episodes: 68000, Average Reward: -0.1230735294117647
Train episodes: 69000, Average Reward: -0.12244927536231884
Train episodes: 70000, Average Reward: -0.12324285714285714
Train episodes: 71000, Average Reward: -0.12378873239436619
Train episodes: 72000, Average Reward: -0.12409722222222222
Train episodes: 73000, Average Reward: -0.12471232876712329
Train episodes: 74000, Average Reward: -0.1256081081081081
Train episodes: 75000, Average Reward: -0.12621333333333334
Train episodes: 76000, Average Reward: -0.12635526315789475
Train episodes: 77000, Average Reward: -0.12633766233766233
Train episodes: 78000, Average Reward: -0.12616666666666668
Train episodes: 79000, Average Reward: -0.12621518987341773
Train episodes: 80000, Average Reward: -0.126525
Train episodes: 81000, Average Reward: -0.12695061728395063
Train episodes: 82000, Average Reward: -0.12763414634146342
Train episodes: 83000, Average Reward: -0.12773493975903613
Train episodes: 84000, Average Reward: -0.12820238095238096
Train episodes: 85000, Average Reward: -0.12878823529411765
Train episodes: 86000, Average Reward: -0.12986046511627908
Train episodes: 87000, Average Reward: -0.13025287356321838
Train episodes: 88000, Average Reward: -0.13122727272727272
Train episodes: 89000, Average Reward: -0.13214606741573034
Train episodes: 90000, Average Reward: -0.13305555555555557
Train episodes: 91000, Average Reward: -0.13363736263736264
Train episodes: 92000, Average Reward: -0.13403260869565217
Train episodes: 93000, Average Reward: -0.13449462365591397
Train episodes: 94000, Average Reward: -0.13503191489361702
Train episodes: 95000, Average Reward: -0.13553684210526315
Train episodes: 96000, Average Reward: -0.13598958333333333
Train episodes: 97000, Average Reward: -0.13689690721649483
Train episodes: 98000, Average Reward: -0.13691836734693877
Train episodes: 99000, Average Reward: -0.1374949494949495
Train episodes: 100000, Average Reward: -0.13764
