Train episodes: 0,Average Reward: -0.958
Train episodes: 25,Average Reward: -0.935
Train episodes: 50,Average Reward: -0.368
Train episodes: 75,Average Reward: -0.231
Train episodes: 100,Average Reward: -0.196
Train episodes: 125,Average Reward: -0.186
Train episodes: 150,Average Reward: -0.141
Train episodes: 175,Average Reward: -0.129
Train episodes: 200,Average Reward: -0.195
Train episodes: 225,Average Reward: -0.196
Train episodes: 250,Average Reward: -0.237
Train episodes: 275,Average Reward: -0.174
Train episodes: 300,Average Reward: -0.18
Train episodes: 325,Average Reward: -0.193
Train episodes: 350,Average Reward: -0.119
Train episodes: 375,Average Reward: -0.165
Train episodes: 400,Average Reward: -0.12
Train episodes: 425,Average Reward: -0.181
Train episodes: 450,Average Reward: -0.178
Train episodes: 475,Average Reward: -0.183
Train episodes: 500,Average Reward: -0.152
