Train episodes: 0,Average Reward: -0.18
Train episodes: 25,Average Reward: -0.16
Train episodes: 50,Average Reward: -0.176
Train episodes: 75,Average Reward: -0.163
Train episodes: 100,Average Reward: -0.147
Train episodes: 125,Average Reward: -0.137
Train episodes: 150,Average Reward: -0.101
Train episodes: 175,Average Reward: -0.083
Train episodes: 200,Average Reward: -0.148
Train episodes: 225,Average Reward: -0.138
Train episodes: 250,Average Reward: -0.103
Train episodes: 275,Average Reward: -0.126
Train episodes: 300,Average Reward: -0.133
Train episodes: 325,Average Reward: -0.208
Train episodes: 350,Average Reward: -0.162
Train episodes: 375,Average Reward: -0.117
Train episodes: 400,Average Reward: -0.134
Train episodes: 425,Average Reward: -0.065
Train episodes: 450,Average Reward: -0.135
Train episodes: 475,Average Reward: -0.11
Train episodes: 500,Average Reward: -0.109
Train episodes: 525,Average Reward: -0.057
Train episodes: 550,Average Reward: -0.099
Train episodes: 575,Average Reward: -0.045
Train episodes: 600,Average Reward: -0.103
Train episodes: 625,Average Reward: -0.103
Train episodes: 650,Average Reward: -0.074
Train episodes: 675,Average Reward: -0.091
Train episodes: 700,Average Reward: -0.09
Train episodes: 725,Average Reward: -0.113
Train episodes: 750,Average Reward: -0.107
Train episodes: 775,Average Reward: -0.118
Train episodes: 800,Average Reward: -0.14
Train episodes: 825,Average Reward: -0.124
Train episodes: 850,Average Reward: -0.101
Train episodes: 875,Average Reward: -0.095
Train episodes: 900,Average Reward: -0.096
Train episodes: 925,Average Reward: -0.106
Train episodes: 950,Average Reward: -0.114
Train episodes: 975,Average Reward: -0.054
Train episodes: 1000,Average Reward: -0.128
