Train episodes: 0,Average Reward: -0.236
Train episodes: 25,Average Reward: -0.232
Train episodes: 50,Average Reward: -0.243
Train episodes: 75,Average Reward: -0.226
Train episodes: 100,Average Reward: -0.228
Train episodes: 125,Average Reward: -0.216
Train episodes: 150,Average Reward: -0.171
Train episodes: 175,Average Reward: -0.162
Train episodes: 200,Average Reward: -0.348
Train episodes: 225,Average Reward: -0.258
Train episodes: 250,Average Reward: -0.27
Train episodes: 275,Average Reward: -0.186
Train episodes: 300,Average Reward: -0.205
Train episodes: 325,Average Reward: -0.197
Train episodes: 350,Average Reward: -0.201
Train episodes: 375,Average Reward: -0.222
Train episodes: 400,Average Reward: -0.212
Train episodes: 425,Average Reward: -0.291
Train episodes: 450,Average Reward: -0.178
Train episodes: 475,Average Reward: -0.174
Train episodes: 500,Average Reward: -0.177
