Train episodes: 0,Average Reward: -0.2
Train episodes: 25,Average Reward: -0.201
Train episodes: 50,Average Reward: -0.341
Train episodes: 75,Average Reward: -0.22
Train episodes: 100,Average Reward: -0.175
Train episodes: 125,Average Reward: -0.271
Train episodes: 150,Average Reward: -0.23
Train episodes: 175,Average Reward: -0.194
Train episodes: 200,Average Reward: -0.254
Train episodes: 225,Average Reward: -0.222
Train episodes: 250,Average Reward: -0.195
Train episodes: 275,Average Reward: -0.171
Train episodes: 300,Average Reward: -0.213
Train episodes: 325,Average Reward: -0.196
Train episodes: 350,Average Reward: -0.188
Train episodes: 375,Average Reward: -0.129
Train episodes: 400,Average Reward: -0.184
Train episodes: 425,Average Reward: -0.198
Train episodes: 450,Average Reward: -0.224
Train episodes: 475,Average Reward: -0.154
Train episodes: 500,Average Reward: -0.179
