Train episodes: 0,Average Reward: -0.235
Train episodes: 25,Average Reward: -0.2
Train episodes: 50,Average Reward: -0.191
Train episodes: 75,Average Reward: -0.224
Train episodes: 100,Average Reward: -0.177
Train episodes: 125,Average Reward: -0.116
Train episodes: 150,Average Reward: -0.164
Train episodes: 175,Average Reward: -0.253
Train episodes: 200,Average Reward: -0.142
Train episodes: 225,Average Reward: -0.126
Train episodes: 250,Average Reward: -0.239
Train episodes: 275,Average Reward: -0.131
Train episodes: 300,Average Reward: -0.185
Train episodes: 325,Average Reward: -0.182
Train episodes: 350,Average Reward: -0.16
Train episodes: 375,Average Reward: -0.141
Train episodes: 400,Average Reward: -0.152
Train episodes: 425,Average Reward: -0.129
Train episodes: 450,Average Reward: -0.118
Train episodes: 475,Average Reward: -0.189
Train episodes: 500,Average Reward: -0.103
