Train episodes: 0,Average Reward: -0.962
Train episodes: 25,Average Reward: -1.0
Train episodes: 50,Average Reward: -0.208
Train episodes: 75,Average Reward: -0.255
Train episodes: 100,Average Reward: -0.171
Train episodes: 125,Average Reward: -0.14
Train episodes: 150,Average Reward: -0.153
Train episodes: 175,Average Reward: -0.102
Train episodes: 200,Average Reward: -0.172
Train episodes: 225,Average Reward: -0.109
Train episodes: 250,Average Reward: -0.134
Train episodes: 275,Average Reward: -0.205
Train episodes: 300,Average Reward: -0.174
Train episodes: 325,Average Reward: -0.244
Train episodes: 350,Average Reward: -0.202
Train episodes: 375,Average Reward: -0.208
Train episodes: 400,Average Reward: -0.191
Train episodes: 425,Average Reward: -0.168
Train episodes: 450,Average Reward: -0.119
Train episodes: 475,Average Reward: -0.219
Train episodes: 500,Average Reward: -0.133
