Train episodes: 0,Average Reward: -0.637
Train episodes: 25,Average Reward: -0.225
Train episodes: 50,Average Reward: -0.256
Train episodes: 75,Average Reward: -0.254
Train episodes: 100,Average Reward: -0.22
Train episodes: 125,Average Reward: -0.193
Train episodes: 150,Average Reward: -0.239
Train episodes: 175,Average Reward: -0.174
Train episodes: 200,Average Reward: -0.278
Train episodes: 225,Average Reward: -0.243
Train episodes: 250,Average Reward: -0.237
Train episodes: 275,Average Reward: -0.251
Train episodes: 300,Average Reward: -0.248
Train episodes: 325,Average Reward: -0.203
Train episodes: 350,Average Reward: -0.148
Train episodes: 375,Average Reward: -0.187
Train episodes: 400,Average Reward: -0.117
Train episodes: 425,Average Reward: -0.153
Train episodes: 450,Average Reward: -0.236
Train episodes: 475,Average Reward: -0.144
Train episodes: 500,Average Reward: -0.171
