Train episodes: 0,Average Reward: -0.326
Train episodes: 25,Average Reward: -0.37
Train episodes: 50,Average Reward: -0.183
Train episodes: 75,Average Reward: -0.101
Train episodes: 100,Average Reward: -0.171
Train episodes: 125,Average Reward: -0.167
Train episodes: 150,Average Reward: -0.208
Train episodes: 175,Average Reward: -0.175
Train episodes: 200,Average Reward: -0.179
Train episodes: 225,Average Reward: -0.17
Train episodes: 250,Average Reward: -0.129
Train episodes: 275,Average Reward: -0.105
Train episodes: 300,Average Reward: -0.077
Train episodes: 325,Average Reward: -0.083
Train episodes: 350,Average Reward: -0.11
Train episodes: 375,Average Reward: -0.096
Train episodes: 400,Average Reward: -0.14
Train episodes: 425,Average Reward: -0.088
Train episodes: 450,Average Reward: -0.068
Train episodes: 475,Average Reward: -0.157
Train episodes: 500,Average Reward: -0.114
Train episodes: 525,Average Reward: -0.072
Train episodes: 550,Average Reward: -0.058
Train episodes: 575,Average Reward: -0.075
Train episodes: 600,Average Reward: -0.056
Train episodes: 625,Average Reward: -0.127
Train episodes: 650,Average Reward: -0.116
Train episodes: 675,Average Reward: -0.132
Train episodes: 700,Average Reward: -0.043
Train episodes: 725,Average Reward: -0.065
Train episodes: 750,Average Reward: -0.107
Train episodes: 775,Average Reward: -0.129
Train episodes: 800,Average Reward: -0.09
Train episodes: 825,Average Reward: -0.132
Train episodes: 850,Average Reward: -0.106
Train episodes: 875,Average Reward: -0.109
Train episodes: 900,Average Reward: -0.087
Train episodes: 925,Average Reward: -0.099
Train episodes: 950,Average Reward: -0.105
Train episodes: 975,Average Reward: -0.11
Train episodes: 1000,Average Reward: -0.09
