Train episodes: 0,Average Reward: -0.326
Train episodes: 25,Average Reward: -0.37
Train episodes: 50,Average Reward: -0.183
Train episodes: 75,Average Reward: -0.101
Train episodes: 100,Average Reward: -0.171
Train episodes: 125,Average Reward: -0.167
Train episodes: 150,Average Reward: -0.208
Train episodes: 175,Average Reward: -0.175
Train episodes: 200,Average Reward: -0.179
Train episodes: 225,Average Reward: -0.17
Train episodes: 250,Average Reward: -0.129
Train episodes: 275,Average Reward: -0.105
Train episodes: 300,Average Reward: -0.077
Train episodes: 325,Average Reward: -0.083
Train episodes: 350,Average Reward: -0.11
Train episodes: 375,Average Reward: -0.096
Train episodes: 400,Average Reward: -0.14
Train episodes: 425,Average Reward: -0.088
Train episodes: 450,Average Reward: -0.068
Train episodes: 475,Average Reward: -0.157
Train episodes: 500,Average Reward: -0.114
Train episodes: 525,Average Reward: -0.072
Train episodes: 550,Average Reward: -0.058
Train episodes: 575,Average Reward: -0.075
Train episodes: 600,Average Reward: -0.056
Train episodes: 625,Average Reward: -0.127
Train episodes: 650,Average Reward: -0.116
Train episodes: 675,Average Reward: -0.132
Train episodes: 700,Average Reward: -0.043
Train episodes: 725,Average Reward: -0.065
Train episodes: 750,Average Reward: -0.107
Train episodes: 775,Average Reward: -0.129
Train episodes: 800,Average Reward: -0.09
Train episodes: 825,Average Reward: -0.132
Train episodes: 850,Average Reward: -0.106
Train episodes: 875,Average Reward: -0.109
Train episodes: 900,Average Reward: -0.087
Train episodes: 925,Average Reward: -0.099
Train episodes: 950,Average Reward: -0.105
Train episodes: 975,Average Reward: -0.11
Train episodes: 1000,Average Reward: -0.09
Train episodes: 1025,Average Reward: -0.083
Train episodes: 1050,Average Reward: -0.116
Train episodes: 1075,Average Reward: -0.079
Train episodes: 1100,Average Reward: -0.129
Train episodes: 1125,Average Reward: -0.118
Train episodes: 1150,Average Reward: -0.112
Train episodes: 1175,Average Reward: -0.102
Train episodes: 1200,Average Reward: -0.122
Train episodes: 1225,Average Reward: -0.093
Train episodes: 1250,Average Reward: -0.095
Train episodes: 1275,Average Reward: -0.135
Train episodes: 1300,Average Reward: -0.121
Train episodes: 1325,Average Reward: -0.09
Train episodes: 1350,Average Reward: -0.12
Train episodes: 1375,Average Reward: -0.137
Train episodes: 1400,Average Reward: -0.176
Train episodes: 1425,Average Reward: -0.133
Train episodes: 1450,Average Reward: -0.124
Train episodes: 1475,Average Reward: -0.107
Train episodes: 1500,Average Reward: -0.105
Train episodes: 1525,Average Reward: -0.068
Train episodes: 1550,Average Reward: -0.055
Train episodes: 1575,Average Reward: -0.127
Train episodes: 1600,Average Reward: -0.071
Train episodes: 1625,Average Reward: -0.063
Train episodes: 1650,Average Reward: -0.096
Train episodes: 1675,Average Reward: -0.088
Train episodes: 1700,Average Reward: -0.1
Train episodes: 1725,Average Reward: -0.09
Train episodes: 1750,Average Reward: -0.085
Train episodes: 1775,Average Reward: -0.079
Train episodes: 1800,Average Reward: -0.092
Train episodes: 1825,Average Reward: -0.1
Train episodes: 1850,Average Reward: -0.108
Train episodes: 1875,Average Reward: -0.098
Train episodes: 1900,Average Reward: -0.116
Train episodes: 1925,Average Reward: -0.105
Train episodes: 1950,Average Reward: -0.153
Train episodes: 1975,Average Reward: -0.134
Train episodes: 2000,Average Reward: -0.131
